Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
01001 Alegría-Dulantzi,40.1,2904.0,25.9,13.1,91.0,22.0,2.5,22449.0,20650.0,46062.0,18082.0,38507.0,15116.0,2.5,29.7
01002 Amurrio,45.0,10254.0,28.1,23.3,92.8,17.9,2.5,23589.0,22050.0,46758.0,19088.0,39221.0,16011.0,2.3,27.9
01003 Aramaio,46.3,1383.0,29.1,24.1,97.5,16.2,2.6,30265.0,26950.0,62591.0,24439.0,51737.0,20201.0,2.1,26.4
01004 Artziniega,43.0,1796.0,29.5,18.5,94.5,19.0,2.4,23170.0,20650.0,45737.0,18794.0,38089.0,15651.0,3.1,31.8
01006 Armiñón,43.4,222.0,28.1,14.4,92.3,15.8,2.3,22659.0,22050.0,43435.0,18783.0,36433.0,15755.0,2.2,26.6
01008 Arratzua-Ubarrundia,45.4,1042.0,24.9,21.6,96.8,16.0,2.6,33263.0,27650.0,72333.0,27836.0,58424.0,22484.0,2.3,27.2
01009 Asparrena,46.7,1607.0,40.1,22.0,90.9,13.8,2.2,22001.0,20650.0,40356.0,18533.0,34211.0,15711.0,2.4,28.6
01010 Ayala/Aiara,43.4,2854.0,27.3,17.5,97.3,19.2,2.6,24131.0,22750.0,50508.0,19308.0,42042.0,16071.0,2.3,26.5
01011 Baños de Ebro/Mañueta,50.0,298.0,33.6,24.5,80.9,7.4,2.5,15126.0,13650.0,29110.0,11624.0,25740.0,10279.0,3.6,37.4
01013 Barrundia,46.6,895.0,31.2,21.7,96.8,14.2,2.4,27119.0,25550.0,54235.0,22361.0,45152.0,18616.0,2.2,26.6
01014 Berantevilla,48.3,445.0,37.1,25.8,93.9,13.5,2.3,24198.0,21350.0,46514.0,20278.0,38777.0,16905.0,2.4,30.4
01016 Bernedo,50.2,539.0,49.3,27.5,95.2,12.1,2.0,22796.0,21350.0,39165.0,19909.0,33505.0,17032.0,2.5,30.9
01017 Campezo/Kanpezu,47.8,1079.0,45.4,24.9,93.8,13.5,2.0,21363.0,19950.0,37129.0,18341.0,31541.0,15581.0,2.5,29.2
01018 Zigoitia,45.9,1819.0,29.8,22.8,96.0,16.1,2.4,30405.0,26950.0,62591.0,25635.0,50869.0,20834.0,2.2,27.4
01019 Kripan,49.2,176.0,31.4,25.0,96.6,10.8,2.5,18672.0,17850.0,37723.0,15003.0,32410.0,12890.0,2.9,31.0
01020 Kuartango,48.8,401.0,49.3,28.9,96.5,15.7,1.9,23796.0,21350.0,38919.0,20673.0,32927.0,17490.0,2.4,29.1
01021 Elburgo/Burgelu,43.7,637.0,18.2,16.0,96.2,17.0,2.8,29298.0,26250.0,64777.0,23490.0,53376.0,19356.0,2.6,30.0
01022 Elciego,45.8,968.0,35.1,23.8,91.7,17.4,2.3,21188.0,18550.0,42227.0,18016.0,35165.0,15003.0,3.2,35.0
01023 Elvillar/Bilar,50.3,314.0,30.9,29.3,91.7,10.5,2.3,16047.0,14700.0,28932.0,12531.0,25688.0,11126.0,2.7,31.9
01027 Iruraiz-Gauna,46.3,540.0,23.7,19.1,97.2,12.2,2.5,27590.0,26950.0,55819.0,22638.0,46399.0,18817.0,2.2,25.5
01028 Labastida/Bastida,43.2,1565.0,34.8,20.7,89.1,19.4,2.4,18378.0,16450.0,35579.0,15095.0,30387.0,12893.0,3.5,35.1
01030 Lagrán,54.7,172.0,54.6,38.4,96.5,8.7,1.7,21834.0,20650.0,35438.0,20398.0,29662.0,17073.0,2.5,30.2
01031 Laguardia,45.4,1474.0,37.1,21.8,87.3,15.5,2.3,20334.0,18550.0,38847.0,17052.0,32660.0,14336.0,3.1,33.9
01032 Lanciego/Lantziego,45.1,708.0,37.5,25.1,85.9,19.6,2.4,15671.0,13650.0,28686.0,12195.0,25280.0,10747.0,3.6,38.8
01033 Lapuebla de Labarca,44.3,869.0,35.0,21.5,88.3,17.0,2.4,16668.0,15050.0,30964.0,13041.0,27198.0,11455.0,3.8,35.0
01034 Leza,47.5,220.0,35.7,28.2,84.1,15.0,2.2,18789.0,16450.0,34688.0,15452.0,30077.0,13398.0,3.9,36.1
01036 Laudio/Llodio,47.4,17866.0,31.5,26.4,94.0,15.1,2.3,22819.0,21350.0,43292.0,18876.0,36469.0,15901.0,2.4,28.8
01037 Arraia-Maeztu,45.7,812.0,40.1,23.8,94.2,18.5,2.2,24143.0,21350.0,44837.0,20375.0,37820.0,17187.0,2.3,28.7
01039 Moreda de Álava/Moreda Araba,51.2,208.0,43.1,26.0,96.2,6.7,2.0,20460.0,19250.0,35193.0,17258.0,29867.0,14646.0,2.8,33.4
01041 Navaridas,46.5,198.0,32.1,22.7,87.4,13.1,2.4,14052.0,12950.0,27627.0,11302.0,24239.0,9916.0,3.0,36.2
01042 Okondo,43.4,1196.0,26.3,17.9,95.0,19.2,2.5,21018.0,19250.0,42981.0,16927.0,35954.0,14159.0,2.7,31.0
01043 Oyón-Oion,40.9,3437.0,30.1,15.9,87.6,22.2,2.5,18064.0,15050.0,36508.0,14350.0,31255.0,12286.0,3.3,36.8
01044 Peñacerrada-Urizaharra,48.9,303.0,47.2,21.1,96.0,10.9,1.9,25193.0,24150.0,42715.0,22697.0,35415.0,18818.0,2.2,26.5
01046 Erriberagoitia/Ribera Alta,46.7,826.0,38.4,20.3,95.5,13.7,2.3,26104.0,23100.0,49753.0,21985.0,41500.0,18338.0,2.3,28.0
01047 Ribera Baja/Erriberabeitia,41.6,1394.0,22.1,14.7,89.7,18.2,2.7,22926.0,21350.0,50162.0,18532.0,41358.0,15279.0,2.6,31.9
01049 Añana,50.9,156.0,60.4,27.6,92.3,9.0,1.7,23623.0,24150.0,36482.0,21281.0,31040.0,18107.0,3.0,32.5
01051 Agurain/Salvatierra,41.2,5012.0,31.2,17.5,88.6,21.5,2.4,20721.0,19950.0,40616.0,16653.0,34555.0,14168.0,2.5,27.2
01052 Samaniego,44.9,286.0,36.5,19.6,84.6,15.4,2.3,17829.0,16450.0,33240.0,14644.0,28668.0,12630.0,3.8,36.1
01053 San Millán/Donemiliaga,48.1,730.0,29.7,24.7,97.4,14.8,2.4,25941.0,24850.0,50859.0,20901.0,43007.0,17674.0,2.1,27.3
01054 Urkabustaiz,41.8,1434.0,34.1,15.1,90.8,20.0,2.4,22370.0,20650.0,44713.0,18397.0,37369.0,15375.0,2.5,30.0
01055 Valdegovía/Gaubea,51.6,1064.0,48.4,30.0,93.2,9.5,2.0,22518.0,20650.0,38730.0,19693.0,32878.0,16717.0,3.0,33.1
01056 Harana/Valle de Arana,55.7,218.0,47.0,36.2,96.8,9.2,1.9,19059.0,17850.0,31058.0,16384.0,27210.0,14354.0,2.2,27.5
01057 Villabuena de Álava/Eskuernaga,50.2,284.0,33.1,30.6,88.0,10.2,2.4,15973.0,13650.0,30042.0,12800.0,26785.0,11412.0,2.2,30.9
01058 Legutio,43.8,2026.0,30.8,18.3,88.7,16.9,2.5,26306.0,23450.0,53434.0,21838.0,43863.0,17926.0,2.9,32.3
01059 Vitoria-Gasteiz,44.4,252213.0,32.2,21.9,88.8,17.0,2.3,23771.0,21350.0,46724.0,19949.0,38785.0,16560.0,2.7,31.2
01060 Yécora/Iekora,49.7,250.0,32.0,31.6,91.2,10.8,2.4,18685.0,16450.0,35389.0,14580.0,30987.0,12767.0,3.1,38.4
01061 Zalduondo,46.0,196.0,45.7,17.4,99.0,11.7,2.1,25840.0,23450.0,46945.0,22036.0,39056.0,18332.0,2.1,28.3
01062 Zambrana,46.5,423.0,35.0,22.7,91.0,13.7,2.3,21632.0,19250.0,41242.0,17842.0,34997.0,15141.0,3.0,30.7
01063 Zuia,45.3,2297.0,29.6,18.7,96.7,14.1,2.5,31376.0,26250.0,65731.0,26498.0,53167.0,21433.0,2.3,29.6
01901 Iruña Oka/Iruña de Oca,41.0,3335.0,25.6,13.9,93.6,20.4,2.6,23314.0,21350.0,48228.0,18698.0,40450.0,15683.0,2.3,27.7
01902 Lantarón,49.1,937.0,37.1,26.3,91.5,11.5,2.5,21644.0,19250.0,44327.0,17977.0,37112.0,15051.0,3.2,33.6
02001 Abengibre,51.6,739.0,30.5,33.8,94.2,9.2,2.5,19598.0,17150.0,37804.0,15122.0,32657.0,13063.0,2.6,30.3
02002 Alatoz,53.3,503.0,38.2,35.8,88.7,8.6,2.1,15925.0,15050.0,27007.0,12607.0,24306.0,11346.0,2.1,27.7
02003 Albacete,42.5,171274.0,28.1,17.8,94.0,17.9,2.6,20762.0,18550.0,43540.0,16865.0,35722.0,13836.0,2.7,31.1
02004 Albatana,50.6,660.0,36.8,30.8,94.7,10.9,2.2,15507.0,13650.0,26594.0,12118.0,23630.0,10767.0,2.4,29.1
02005 Alborea,49.1,680.0,41.0,26.0,86.2,10.4,2.1,14493.0,12950.0,25059.0,11852.0,22177.0,10489.0,2.4,29.7
02006 Alcadozo,50.1,649.0,39.9,31.3,98.3,11.4,2.2,15114.0,13650.0,26806.0,12052.0,23819.0,10709.0,2.1,27.1
02007 Alcalá del Júcar,51.0,1131.0,43.7,31.2,93.2,10.2,2.0,15548.0,13650.0,25172.0,12630.0,22360.0,11219.0,2.2,28.5
02008 Alcaraz,47.1,1293.0,41.5,24.2,96.8,14.1,2.2,17143.0,14350.0,31192.0,13726.0,27166.0,11954.0,2.3,30.0
02009 Almansa,44.4,24105.0,27.5,20.2,94.1,16.4,2.5,17918.0,15750.0,35324.0,14139.0,30012.0,12013.0,2.3,27.6
